date_purchase_id,date_purchase
853,2021-12-03
1436,2023-12-04
1440,2023-12-08
433,2020-06-25
149,2019-06-29
258,2019-11-07
1306,2023-07-01
858,2021-12-09
1391,2023-10-13
23,2019-01-30
57,2019-03-14
767,2021-08-18
213,2019-09-13
552,2020-11-29
1237,2023-04-01
829,2021-11-02
1300,2023-06-24
466,2020-08-13
415,2020-06-03
1339,2023-08-13
664,2021-04-11
1229,2023-03-22
1219,2023-03-08
918,2022-02-27
801,2021-09-26
549,2020-11-25
917,2022-02-26
484,2020-09-08
993,2022-05-31
1108,2022-10-29
292,2019-12-20
1318,2023-07-17
1375,2023-09-24
1373,2023-09-22
526,2020-10-27
1169,2023-01-11
607,2021-01-31
1223,2023-03-13
554,2020-12-01
634,2021-03-02
1426,2023-11-22
1086,2022-10-01
1366,2023-09-12
1174,2023-01-17
516,2020-10-16
1009,2022-06-22
1030,2022-07-23
1138,2022-12-03
956,2022-04-18
668,2021-04-15
257,2019-11-06
9,2019-01-12
927,2022-03-14
303,2020-01-03
965,2022-04-30
955,2022-04-17
1358,2023-09-03
857,2021-12-07
864,2021-12-20
719,2021-06-17
1312,2023-07-10
1259,2023-05-03
387,2020-04-26
722,2021-06-20
678,2021-04-25
190,2019-08-19
1225,2023-03-16
840,2021-11-18
11,2019-01-14
411,2020-05-30
256,2019-11-05
330,2020-02-01
429,2020-06-21
101,2019-05-03
1153,2022-12-20
843,2021-11-22
153,2019-07-04
344,2020-02-22
283,2019-12-09
305,2020-01-05
470,2020-08-20
833,2021-11-07
323,2020-01-25
1354,2023-08-30
1141,2022-12-07
128,2019-06-04
1236,2023-03-31
1115,2022-11-06
455,2020-07-28
1444,2023-12-13
1094,2022-10-11
1072,2022-09-15
1083,2022-09-28
1368,2023-09-14
167,2019-07-21
26,2019-02-04
105,2019-05-08
306,2020-01-06
1462,2024-01-04
312,2020-01-13
1399,2023-10-22
638,2021-03-06
1280,2023-05-28
1230,2023-03-23
1110,2022-10-31
1240,2023-04-04
831,2021-11-05
729,2021-06-30
1269,2023-05-16
691,2021-05-17
197,2019-08-26
810,2021-10-05
684,2021-05-05
1116,2022-11-07
881,2022-01-12
601,2021-01-22
1411,2023-11-04
1098,2022-10-18
477,2020-09-01
261,2019-11-11
251,2019-10-29
357,2020-03-13
211,2019-09-10
902,2022-02-10
681,2021-05-02
774,2021-08-25
1091,2022-10-06
349,2020-03-01
1190,2023-02-05
1464,2024-01-07
7,2019-01-10
412,2020-05-31
1432,2023-11-28
1457,2023-12-28
785,2021-09-09
651,2021-03-23
875,2022-01-05
1360,2023-09-05
60,2019-03-17
758,2021-08-08
272,2019-11-24
693,2021-05-19
46,2019-02-28
1447,2023-12-16
222,2019-09-26
880,2022-01-10
1215,2023-03-03
779,2021-08-31
430,2020-06-22
714,2021-06-11
218,2019-09-18
40,2019-02-20
735,2021-07-10
792,2021-09-16
567,2020-12-15
1104,2022-10-25
409,2020-05-28
208,2019-09-07
1039,2022-08-03
1445,2023-12-14
502,2020-09-26
674,2021-04-21
759,2021-08-10
379,2020-04-17
535,2020-11-10
1155,2022-12-25
1139,2022-12-04
117,2019-05-20
249,2019-10-26
52,2019-03-09
879,2022-01-09
343,2020-02-21
1150,2022-12-17
6,2019-01-08
848,2021-11-27
938,2022-03-28
900,2022-02-08
438,2020-07-02
1377,2023-09-26
403,2020-05-20
414,2020-06-02
1130,2022-11-25
1136,2022-12-01
1239,2023-04-03
894,2022-01-31
82,2019-04-13
1251,2023-04-16
969,2022-05-04
1003,2022-06-12
310,2020-01-11
363,2020-03-20
755,2021-08-05
1265,2023-05-10
1123,2022-11-18
1454,2023-12-25
1156,2022-12-26
1408,2023-11-01
352,2020-03-05
926,2022-03-13
733,2021-07-08
1077,2022-09-22
1054,2022-08-18
771,2021-08-22
1320,2023-07-20
161,2019-07-13
192,2019-08-21
483,2020-09-07
750,2021-07-31
347,2020-02-26
1199,2023-02-14
1278,2023-05-26
1342,2023-08-16
1221,2023-03-10
932,2022-03-22
513,2020-10-11
150,2019-07-01
937,2022-03-27
595,2021-01-16
480,2020-09-04
772,2021-08-23
151,2019-07-02
682,2021-05-03
1001,2022-06-10
654,2021-03-28
353,2020-03-06
1216,2023-03-04
275,2019-11-27
1344,2023-08-18
1338,2023-08-12
267,2019-11-19
975,2022-05-11
582,2020-12-31
241,2019-10-18
125,2019-05-31
143,2019-06-22
534,2020-11-09
1125,2022-11-20
103,2019-05-06
72,2019-03-31
558,2020-12-05
1006,2022-06-15
15,2019-01-20
832,2021-11-06
1105,2022-10-26
106,2019-05-09
1336,2023-08-09
1370,2023-09-18
462,2020-08-08
1235,2023-03-30
1080,2022-09-25
230,2019-10-05
1050,2022-08-14
1053,2022-08-17
390,2020-04-30
4,2019-01-05
824,2021-10-27
954,2022-04-16
1291,2023-06-10
598,2021-01-19
1087,2022-10-02
1414,2023-11-07
922,2022-03-04
960,2022-04-24
851,2021-11-30
350,2020-03-02
1301,2023-06-25
577,2020-12-26
401,2020-05-18
324,2020-01-26
497,2020-09-21
191,2019-08-20
998,2022-06-07
342,2020-02-19
1180,2023-01-24
1304,2023-06-28
38,2019-02-18
453,2020-07-24
1201,2023-02-16
999,2022-06-08
883,2022-01-16
179,2019-08-04
